Trip ID,Destination,Start date,End date,Duration (days),Accommodation type,Accommodation cost,Transportation type in the city,Transportation cost,Rating,Average Trip Cost,Photos URL
1,"London, UK",5/1/2023,5/8/2023,7,Hotel,1200,Uber,59,4.2,629.5,https://unsplash.com/s/photos/london-uk
2,"Phuket, Thailand",6/15/2023,6/20/2023,5,Resort,800,Uber,87,4.6,443.5,https://unsplash.com/s/photos/phuket-thailand
3,"Bali, Indonesia",7/1/2023,7/8/2023,7,Villa,1000,Rental,317,2.9,658.5,https://unsplash.com/s/photos/bali-indonesia
4,"New York, USA",8/15/2023,8/29/2023,14,Hotel,2000,Rental,481,3.0,1240.5,https://unsplash.com/s/photos/new-york-usa
5,"Tokyo, Japan",9/10/2023,9/17/2023,7,Airbnb,700,Train,90,4.5,395.0,https://unsplash.com/s/photos/tokyo-japan
6,"Paris, France",10/5/2023,10/10/2023,5,Hotel,1500,Public Transportation,26,4.1,763.0,https://unsplash.com/s/photos/paris-france
7,"Sydney, Australia",11/20/2023,11/30/2023,10,Hostel,500,Rental,141,3.7,320.5,https://unsplash.com/s/photos/sydney-australia
8,"Rio de Janeiro, Brazil",1/5/2024,1/12/2024,7,Airbnb,900,Public Transportation,12,1.8,456.0,https://unsplash.com/s/photos/rio-de-janeiro-brazil
9,"Amsterdam, Netherlands",2/14/2024,2/21/2024,7,Hotel,1200,Uber,81,4.8,640.5,https://unsplash.com/s/photos/amsterdam-netherlands
10,"Dubai, United Arab Emirates",3/10/2024,3/17/2024,7,Resort,2500,Uber,43,1.7,1271.5,https://unsplash.com/s/photos/dubai-united-arab-emirates
11,New Robertmouth,2024-08-30,2025-08-09,5,Hostel,572,Uber,99,2.0,335.5,https://unsplash.com/s/photos/new-robertmouth
12,Andrewside,2023-10-27,2025-06-16,6,Hotel,2840,Uber,82,4.4,1461.0,https://unsplash.com/s/photos/andrewside
13,Mcknightmouth,2023-10-27,2025-06-10,14,Resort,2016,Public Transportation,11,2.5,1013.5,https://unsplash.com/s/photos/mcknightmouth
14,Stevenborough,2024-02-11,2025-04-30,13,Villa,472,Rental,357,1.1,414.5,https://unsplash.com/s/photos/stevenborough
15,Harperton,2024-08-27,2024-10-31,14,Hostel,882,Uber,28,4.4,455.0,https://unsplash.com/s/photos/harperton
16,East Lauraton,2024-05-14,2024-11-09,5,Airbnb,1735,Train,266,3.7,1000.5,https://unsplash.com/s/photos/east-lauraton
17,Christianberg,2024-04-17,2024-09-16,13,Resort,421,Uber,50,3.2,235.5,https://unsplash.com/s/photos/christianberg
18,West Brandonville,2024-04-04,2025-08-28,13,Resort,2013,Train,134,2.3,1073.5,https://unsplash.com/s/photos/west-brandonville
19,Josephview,2024-02-16,2025-09-04,10,Hotel,1513,Rental,439,3.7,976.0,https://unsplash.com/s/photos/josephview
20,New Cynthia,2024-06-01,2025-03-05,10,Hostel,1267,Rental,284,3.4,775.5,https://unsplash.com/s/photos/new-cynthia
21,Alisonmouth,2024-01-31,2024-09-18,14,Resort,503,Train,89,3.5,296.0,https://unsplash.com/s/photos/alisonmouth
22,Jasonport,2024-09-02,2025-04-01,13,Resort,597,Train,136,1.2,366.5,https://unsplash.com/s/photos/jasonport
23,Lake Christopher,2023-09-21,2024-09-20,7,Airbnb,1171,Rental,326,3.5,748.5,https://unsplash.com/s/photos/lake-christopher
24,Floresberg,2024-01-24,2024-12-02,13,Resort,830,Public Transportation,18,2.2,424.0,https://unsplash.com/s/photos/floresberg
25,Espinozahaven,2024-07-04,2025-08-05,6,Resort,2176,Train,259,1.6,1217.5,https://unsplash.com/s/photos/espinozahaven
